	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_000110.1	0.988376181592437	0.0116238184075628	1.13387222854632	1.13422863098109	235.676448021225	207.784479511031
transcript:Smp_000130.1	0.994315615212641	0.00568438478735923	0.981516064834402	0.981508739869723	1370.13726267728	1395.95032823828
transcript:Smp_000150.1	1	2.16414767067811e-18	1.06316753701964	1.06322643128673	630.846905250144	593.332007578454
transcript:Smp_000160.1	0.990905367524823	0.00909463247517699	0.981176539196127	0.981160524454434	637.965171325659	650.215070643154
transcript:Smp_000180.1	0.993074383261377	0.00692561673862315	0.956682212167902	0.956663070639491	1197.6480603536	1251.90208598971
transcript:Smp_000190.1	0.992937629141865	0.00706237085813522	1.08329450432223	1.0833345337779	1247.03873359315	1151.11063237229
transcript:Smp_000200.1	0.990144345673198	0.00985565432680248	1.01586801265958	1.01588288585812	599.5684040498	590.194257199721
transcript:Smp_000230.1	1	3.25042791683535e-18	0.937769462429865	0.937723544971818	703.037567540802	749.728631722137
transcript:Smp_000240.1	0.156959122782723	0.843040877217277	1.12289820869678	1.12293214384314	2249.73613586951	2003.44688580073
transcript:Smp_000260.1	0.998730733913321	0.00126926608667892	1.19439225964472	1.19440465836371	10359.4666128186	8673.32909012935
transcript:Smp_000270.1	0.712775952160533	0.287224047839467	1.95623058448382	1.98021744424343	43.6603116136585	22.0432910366029
transcript:Smp_000280.1	0.351208758179026	0.648791241820974	2.00480122591392	2.01133915219177	170.995319116628	85.0106286345504
transcript:Smp_000300.1	0	1	0.0112813830015266	0.000202552236085314	0	49.3599807677663
transcript:Smp_000300.2	0.986529214626752	0.0134707853732476	1.18498697123547	1.18527410334079	422.427396027421	356.39481373612
transcript:Smp_000310.1	0.932631896217209	0.0673681037827912	1.39040200426899	1.40698715638269	18.3117472277832	13.011971909742
transcript:Smp_000310.2	1.84807724679104e-12	0.999999999998152	0.803250231903925	0.803178129076481	1212.42365249402	1509.53515393505
